ID:639 has a score of 4.33, Letter grade: F
ID:690 has a score of 7.33, Letter grade: F
ID:154 has a score of 9.33, Letter grade: F
ID:585 has a score of 10.0, Letter grade: F
ID:919 has a score of 10.33, Letter grade: F
ID:612 has a score of 10.67, Letter grade: F
ID:298 has a score of 12.67, Letter grade: F
ID:773 has a score of 13.0, Letter grade: F
ID:936 has a score of 13.33, Letter grade: F
ID:604 has a score of 13.67, Letter grade: F
ID:668 has a score of 14.33, Letter grade: F
ID:609 has a score of 14.33, Letter grade: F
ID:668 has a score of 14.33, Letter grade: F
ID:609 has a score of 14.33, Letter grade: F
ID:994 has a score of 14.67, Letter grade: F
ID:878 has a score of 14.67, Letter grade: F
ID:994 has a score of 14.67, Letter grade: F
ID:878 has a score of 14.67, Letter grade: F
ID:141 has a score of 15.0, Letter grade: F
ID:807 has a score of 15.33, Letter grade: F
ID:693 has a score of 15.67, Letter grade: F
ID:122 has a score of 15.67, Letter grade: F
ID:693 has a score of 15.67, Letter grade: F
ID:122 has a score of 15.67, Letter grade: F
ID:664 has a score of 16.0, Letter grade: F
ID:896 has a score of 16.33, Letter grade: F
ID:416 has a score of 16.67, Letter grade: F
ID:619 has a score of 16.67, Letter grade: F
ID:757 has a score of 16.67, Letter grade: F
ID:416 has a score of 16.67, Letter grade: F
ID:619 has a score of 16.67, Letter grade: F
ID:757 has a score of 16.67, Letter grade: F
ID:416 has a score of 16.67, Letter grade: F
ID:619 has a score of 16.67, Letter grade: F
ID:757 has a score of 16.67, Letter grade: F
ID:965 has a score of 17.0, Letter grade: F
ID:905 has a score of 17.0, Letter grade: F
ID:965 has a score of 17.0, Letter grade: F
ID:905 has a score of 17.0, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:388 has a score of 17.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:486 has a score of 17.33, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:920 has a score of 18.0, Letter grade: F
ID:561 has a score of 18.0, Letter grade: F
ID:781 has a score of 18.0, Letter grade: F
ID:920 has a score of 18.0, Letter grade: F
ID:561 has a score of 18.0, Letter grade: F
ID:781 has a score of 18.0, Letter grade: F
ID:920 has a score of 18.0, Letter grade: F
ID:561 has a score of 18.0, Letter grade: F
ID:781 has a score of 18.0, Letter grade: F
ID:579 has a score of 18.67, Letter grade: F
ID:164 has a score of 18.67, Letter grade: F
ID:579 has a score of 18.67, Letter grade: F
ID:164 has a score of 18.67, Letter grade: F
ID:349 has a score of 19.0, Letter grade: F
ID:692 has a score of 20.33, Letter grade: F
ID:144 has a score of 20.33, Letter grade: F
ID:692 has a score of 20.33, Letter grade: F
ID:144 has a score of 20.33, Letter grade: F
ID:873 has a score of 20.67, Letter grade: F
ID:681 has a score of 20.67, Letter grade: F
ID:873 has a score of 20.67, Letter grade: F
ID:681 has a score of 20.67, Letter grade: F
ID:804 has a score of 21.0, Letter grade: F
ID:969 has a score of 21.0, Letter grade: F
ID:804 has a score of 21.0, Letter grade: F
ID:969 has a score of 21.0, Letter grade: F
ID:737 has a score of 21.67, Letter grade: F
ID:105 has a score of 22.0, Letter grade: F
ID:479 has a score of 22.67, Letter grade: F
ID:672 has a score of 22.67, Letter grade: F
ID:479 has a score of 22.67, Letter grade: F
ID:672 has a score of 22.67, Letter grade: F
ID:423 has a score of 23.0, Letter grade: F
ID:410 has a score of 23.0, Letter grade: F
ID:423 has a score of 23.0, Letter grade: F
ID:410 has a score of 23.0, Letter grade: F
ID:528 has a score of 23.33, Letter grade: F
ID:225 has a score of 23.33, Letter grade: F
ID:528 has a score of 23.33, Letter grade: F
ID:225 has a score of 23.33, Letter grade: F
ID:701 has a score of 23.67, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:278 has a score of 23.67, Letter grade: F
ID:701 has a score of 23.67, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:278 has a score of 23.67, Letter grade: F
ID:701 has a score of 23.67, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:278 has a score of 23.67, Letter grade: F
ID:701 has a score of 23.67, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:278 has a score of 23.67, Letter grade: F
ID:701 has a score of 23.67, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:278 has a score of 23.67, Letter grade: F
ID:149 has a score of 24.0, Letter grade: F
ID:770 has a score of 24.67, Letter grade: F
ID:659 has a score of 24.67, Letter grade: F
ID:770 has a score of 24.67, Letter grade: F
ID:659 has a score of 24.67, Letter grade: F
ID:131 has a score of 25.0, Letter grade: F
ID:695 has a score of 25.0, Letter grade: F
ID:468 has a score of 25.0, Letter grade: F
ID:131 has a score of 25.0, Letter grade: F
ID:695 has a score of 25.0, Letter grade: F
ID:468 has a score of 25.0, Letter grade: F
ID:131 has a score of 25.0, Letter grade: F
ID:695 has a score of 25.0, Letter grade: F
ID:468 has a score of 25.0, Letter grade: F
ID:555 has a score of 25.33, Letter grade: F
ID:163 has a score of 25.33, Letter grade: F
ID:555 has a score of 25.33, Letter grade: F
ID:163 has a score of 25.33, Letter grade: F
ID:392 has a score of 25.67, Letter grade: F
ID:334 has a score of 25.67, Letter grade: F
ID:392 has a score of 25.67, Letter grade: F
ID:334 has a score of 25.67, Letter grade: F
ID:935 has a score of 26.0, Letter grade: F
ID:656 has a score of 26.33, Letter grade: F
ID:363 has a score of 26.33, Letter grade: F
ID:675 has a score of 26.33, Letter grade: F
ID:521 has a score of 26.33, Letter grade: F
ID:656 has a score of 26.33, Letter grade: F
ID:363 has a score of 26.33, Letter grade: F
ID:675 has a score of 26.33, Letter grade: F
ID:521 has a score of 26.33, Letter grade: F
ID:656 has a score of 26.33, Letter grade: F
ID:363 has a score of 26.33, Letter grade: F
ID:675 has a score of 26.33, Letter grade: F
ID:521 has a score of 26.33, Letter grade: F
ID:656 has a score of 26.33, Letter grade: F
ID:363 has a score of 26.33, Letter grade: F
ID:675 has a score of 26.33, Letter grade: F
ID:521 has a score of 26.33, Letter grade: F
ID:431 has a score of 26.67, Letter grade: F
ID:470 has a score of 26.67, Letter grade: F
ID:863 has a score of 26.67, Letter grade: F
ID:705 has a score of 26.67, Letter grade: F
ID:431 has a score of 26.67, Letter grade: F
