ID:100 has a score of 78.0, Letter grade: C
ID:101 has a score of 42.67, Letter grade: F
ID:102 has a score of 50.33, Letter grade: F
ID:103 has a score of 67.0, Letter grade: D
ID:104 has a score of 46.0, Letter grade: F
ID:105 has a score of 22.0, Letter grade: F
ID:106 has a score of 34.67, Letter grade: F
ID:107 has a score of 85.67, Letter grade: B
ID:108 has a score of 60.0, Letter grade: D
ID:109 has a score of 47.0, Letter grade: F
ID:110 has a score of 47.33, Letter grade: F
ID:111 has a score of 44.33, Letter grade: F
ID:112 has a score of 67.33, Letter grade: D
ID:113 has a score of 43.33, Letter grade: F
ID:114 has a score of 76.67, Letter grade: C
ID:115 has a score of 53.33, Letter grade: F
ID:116 has a score of 53.0, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:118 has a score of 33.67, Letter grade: F
ID:119 has a score of 56.67, Letter grade: F
ID:120 has a score of 80.67, Letter grade: B
ID:121 has a score of 46.0, Letter grade: F
ID:122 has a score of 15.67, Letter grade: F
ID:123 has a score of 54.67, Letter grade: F
ID:124 has a score of 45.33, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:126 has a score of 52.33, Letter grade: F
ID:127 has a score of 46.67, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:129 has a score of 23.67, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:131 has a score of 25.0, Letter grade: F
ID:132 has a score of 34.67, Letter grade: F
ID:133 has a score of 38.0, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:135 has a score of 75.0, Letter grade: C
ID:136 has a score of 69.0, Letter grade: D
ID:137 has a score of 44.0, Letter grade: F
ID:138 has a score of 51.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:140 has a score of 71.33, Letter grade: C
ID:141 has a score of 15.0, Letter grade: F
ID:142 has a score of 62.0, Letter grade: D
ID:143 has a score of 56.33, Letter grade: F
ID:144 has a score of 20.33, Letter grade: F
ID:145 has a score of 48.0, Letter grade: F
ID:146 has a score of 49.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:148 has a score of 33.67, Letter grade: F
ID:149 has a score of 24.0, Letter grade: F
ID:150 has a score of 74.33, Letter grade: C
ID:151 has a score of 65.0, Letter grade: D
ID:152 has a score of 64.67, Letter grade: D
ID:153 has a score of 60.0, Letter grade: D
ID:154 has a score of 9.33, Letter grade: F
ID:155 has a score of 53.0, Letter grade: F
ID:156 has a score of 62.33, Letter grade: D
ID:157 has a score of 54.67, Letter grade: F
ID:158 has a score of 51.33, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:160 has a score of 57.33, Letter grade: F
ID:161 has a score of 63.33, Letter grade: D
ID:162 has a score of 78.0, Letter grade: C
ID:163 has a score of 25.33, Letter grade: F
ID:164 has a score of 18.67, Letter grade: F
ID:165 has a score of 44.0, Letter grade: F
ID:166 has a score of 65.0, Letter grade: D
ID:167 has a score of 45.33, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:169 has a score of 50.0, Letter grade: F
ID:170 has a score of 61.33, Letter grade: D
ID:171 has a score of 68.67, Letter grade: D
ID:172 has a score of 48.0, Letter grade: F
ID:173 has a score of 48.67, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:175 has a score of 51.0, Letter grade: F
ID:176 has a score of 23.67, Letter grade: F
ID:177 has a score of 63.33, Letter grade: D
ID:178 has a score of 35.0, Letter grade: F
ID:179 has a score of 49.33, Letter grade: F
ID:180 has a score of 44.0, Letter grade: F
ID:181 has a score of 39.0, Letter grade: F
ID:182 has a score of 34.0, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:184 has a score of 29.67, Letter grade: F
ID:185 has a score of 64.33, Letter grade: D
ID:186 has a score of 78.0, Letter grade: C
ID:187 has a score of 83.33, Letter grade: B
ID:188 has a score of 68.33, Letter grade: D
ID:189 has a score of 41.33, Letter grade: F
ID:190 has a score of 30.0, Letter grade: F
ID:191 has a score of 48.33, Letter grade: F
ID:192 has a score of 37.0, Letter grade: F
ID:193 has a score of 56.67, Letter grade: F
ID:194 has a score of 28.33, Letter grade: F
ID:195 has a score of 31.67, Letter grade: F
ID:196 has a score of 38.33, Letter grade: F
ID:197 has a score of 52.33, Letter grade: F
ID:198 has a score of 47.0, Letter grade: F
ID:199 has a score of 66.67, Letter grade: D
ID:200 has a score of 42.67, Letter grade: F
ID:201 has a score of 53.33, Letter grade: F
ID:202 has a score of 36.0, Letter grade: F
ID:203 has a score of 51.67, Letter grade: F
ID:204 has a score of 55.0, Letter grade: F
ID:205 has a score of 62.67, Letter grade: D
ID:206 has a score of 36.33, Letter grade: F
ID:207 has a score of 47.0, Letter grade: F
ID:208 has a score of 67.33, Letter grade: D
ID:209 has a score of 56.33, Letter grade: F
ID:210 has a score of 62.67, Letter grade: D
ID:211 has a score of 49.33, Letter grade: F
ID:212 has a score of 47.67, Letter grade: F
ID:213 has a score of 36.0, Letter grade: F
ID:214 has a score of 34.33, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:216 has a score of 62.67, Letter grade: D
ID:217 has a score of 70.33, Letter grade: C
ID:218 has a score of 60.0, Letter grade: D
